major,gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
ALL,COMBINED,183630,171699,163472,159804,152789,163494,163336,163336,147692,113972,124723,118540,119873
ALL,WOMEN,95039,90656,86208,87591,82780,86876,87641,87641,80530,63488,70328,67246,68638
SCI_05,COMBINED,9861,8949,7260,6492,5374,5658,,,,,,,
SCI_05,WOMEN,6978,6196,5199,4667,3717,3976,,,,,,,
IT_06,COMBINED,21973,18509,16078,13671,12819,13874,,,,,,,
IT_06,WOMEN,5207,4192,4077,3661,3767,4365,,,,,,,
ENG_07,COMBINED,31068,30263,26497,26025,25268,29640,,,,,,,
ENG_07,WOMEN,9414,9196,7589,7814,7646,8617,,,,,,,
5B-NAT,COMBINED,,,,,,,4532,4532,4057,3511,3671,3632,3687
5B-NAT,WOMEN,,,,,,,2807,2807,2598,2428,2471,2384,2448
5B-TECH,COMBINED,,,,,,,38559,38559,31102,25374,25328,23790,23376
5B-TECH,WOMEN,,,,,,,12006,12006,10254,9027,9186,8668,8932
