Major,2012,2013,2014,2015,2016,2017,2018
Technical sciences and technologies (total),0.3821,0.3644,0.3629,0.3558,0.3297,0.3038,0.3467
Information Systems,0.4569,0.4377,0.4025,0.4058,0.3411,0.3332,0.3205
Computer hardware and software,0.3577,0.3075,0.3131,0.3109,0.2816,0.2519,0.2346
Biotechnology,0.8029,0.7759,0.7675,0.7831,0.7884,0.8022,0.7670
Automation and control,0.2699,0.2884,0.2779,0.2440,0.2138,0.1920,0.2181
Electric power industry,0.1410,0.1579,0.1429,0.1170,0.1085,0.1136,0.0859
Construction,0.2946,0.3109,0.3118,0.2458,0.2314,0.2078,0.2360
"Radio engineering, electronics and telecommunications",0.3971,0.3787,0.4098,0.3633,0.3685,0.3087,0.3311
Oil and gas business,0.2029,0.1795,0.1775,0.1958,0.2037,0.1625,0.1389
Pharmaceutical production technology,0.8800,0.8015,0.8250,0.8261,0.8537,0.7824,0.7826
Food technology,0.8173,0.7762,0.8194,0.8685,0.7996,0.8053,0.7668
